antecedents,idArticulo
1627,551
551,1627
5579,551
551,5579
17779,551
551,17779
19571,551
551,19571
26158,551
551,26158
594,1627
1627,594
594,5579
5579,594
594,19574
19574,594
9776,1208
1208,9776
1208,10927
10927,1208
1208,10964
10964,1208
1208,26158
26158,1208
3882,1627
1627,3882
1627,5579
5579,1627
1627,7798
7798,1627
9776,1627
1627,9776
1627,17779
17779,1627
1627,19574
19574,1627
1627,26158
26158,1627
9776,3745
3745,9776
3745,9950
9950,3745
3882,9950
9950,3882
10960,3882
3882,10960
3882,17779
17779,3882
3883,11397
11397,3883
3883,17413
17413,3883
3883,17414
17414,3883
11395,4070
4070,11395
4827,11509
11509,4827
4827,17804
17804,4827
17779,5579
5579,17779
5579,26158
26158,5579
6833,17779
17779,6833
17779,7798
7798,17779
19571,7798
7798,19571
7798,19574
19574,7798
14708,7799
7799,14708
19571,7799
7799,19571
19574,7799
7799,19574
9776,7801
7801,9776
7801,19574
19574,7801
9776,9950
9950,9776
9776,11397
11397,9776
9776,11523
11523,9776
9776,14709
14709,9776
9776,20310
20310,9776
9776,20769
20769,9776
9776,21577
21577,9776
9776,26158
26158,9776
9776,26170
26170,9776
11523,9950
9950,11523
17779,9950
9950,17779
20769,9950
9950,20769
26158,9950
9950,26158
11509,10702
10702,11509
26158,10702
10702,26158
14708,10927
10927,14708
14709,10927
10927,14709
19574,10927
10927,19574
26158,10927
10927,26158
10960,16404
16404,10960
11395,11807
11807,11395
17779,11395
11395,17779
20697,11395
11395,20697
26170,11395
11395,26170
20301,11397
11397,20301
16404,11509
11509,16404
17804,11509
11509,17804
17779,11523
11523,17779
11523,23900
23900,11523
17779,11807
11807,17779
23900,11807
11807,23900
17779,14708
14708,17779
14708,26158
26158,14708
17413,20309
20309,17413
17413,26158
26158,17413
19571,17779
17779,19571
17779,26158
26158,17779
26170,17779
17779,26170
20305,19574
19574,20305
26158,19574
19574,26158
20305,20301
20301,20305
20301,20309
20309,20301
20301,20310
20310,20301
20305,20309
20309,20305
20305,20310
20310,20305
20309,20310
20310,20309
1627,551
1627,5579
5579,1627
1627,5579
5579,1627
551,1627
17779,551
1627,17779
17779,1627
1627,17779
17779,1627
551,17779
5579,551
9950,5579
5579,9950
551,5579
17779,551
17779,5579
5579,17779
17779,5579
5579,17779
551,17779
5579,551
5579,26158
26158,5579
5579,26158
26158,5579
551,5579
17779,5579
1627,17779
17779,1627
1627,17779
17779,1627
5579,17779
17779,551
17779,5579
1627,17779
17779,1627
17779,5579
1627,17779
1627,17779
17779,1627
17779,1627
5579,17779
1627,17779
17779,1627
5579,17779
551,17779
